round,nodes_in_network,nodes_churned,resources_lost,total_searches,successful_searches,success_rate,avg_messages,avg_hops
0,5000,250,209,50,50,1.0,4401.9,4.0
1,5000,250,226,50,44,0.88,4548.14,3.977272727272727
2,5000,250,203,50,49,0.98,4436.44,3.9591836734693877
3,5000,250,223,50,45,0.9,4812.82,4.066666666666666
4,5000,250,204,50,46,0.92,4703.54,4.065217391304348
5,5000,250,175,50,37,0.74,4554.82,3.918918918918919
6,5000,250,182,50,37,0.74,4764.06,3.972972972972973
7,5000,250,174,50,32,0.64,4508.56,3.875
8,5000,250,160,50,33,0.66,4610.58,3.8484848484848486
9,5000,250,157,50,30,0.6,4703.26,4.033333333333333
10,5000,250,136,50,35,0.7,4806.56,4.085714285714285
11,5000,250,142,50,30,0.6,4711.32,3.933333333333333
12,5000,250,137,50,28,0.56,4746.5,3.892857142857143
13,5000,250,138,50,23,0.46,4579.28,3.652173913043478
14,5000,250,146,50,25,0.5,4526.54,3.68
15,5000,250,110,50,30,0.6,4606.64,3.9
16,5000,250,113,50,20,0.4,4886.08,4.1
17,5000,250,106,50,26,0.52,4784.38,3.8846153846153846
18,5000,250,133,50,20,0.4,4769.92,3.75
19,5000,250,107,50,17,0.34,4862.92,4.117647058823529
