round,success_rate_mean,success_rate_std,avg_messages_mean,avg_messages_std,avg_hops_mean,avg_hops_std,n_reps
0,1.0,0.0,4443.752,139.383,3.98,0.093,30
1,0.9427,0.0272,4497.501,165.074,3.997,0.1,30
2,0.8987,0.0561,4568.065,131.268,4.02,0.088,30
3,0.8547,0.0533,4628.015,154.182,4.019,0.099,30
4,0.806,0.0556,4638.735,109.365,3.998,0.095,30
5,0.7707,0.0686,4635.776,103.22,3.975,0.091,30
6,0.7273,0.0422,4668.291,148.643,4.003,0.116,30
7,0.7113,0.0584,4647.487,126.298,3.962,0.105,30
8,0.6613,0.0612,4683.179,111.644,3.946,0.109,30
9,0.624,0.0727,4721.817,101.003,3.971,0.129,30
10,0.6153,0.0607,4677.215,134.574,3.92,0.135,30
11,0.5753,0.0708,4714.817,96.602,3.925,0.112,30
12,0.5293,0.0825,4746.007,106.302,3.98,0.139,30
13,0.526,0.0675,4747.663,97.313,3.956,0.129,30
14,0.4927,0.0704,4757.138,125.804,3.944,0.144,30
15,0.4753,0.0653,4784.103,113.549,3.957,0.143,30
16,0.4367,0.0628,4782.271,106.151,3.942,0.138,30
17,0.4073,0.071,4806.271,98.534,3.93,0.139,30
18,0.4,0.0832,4829.999,91.158,3.951,0.15,30
19,0.3827,0.0625,4803.425,93.349,3.939,0.158,30
