round,nodes_in_network,nodes_churned,resources_lost,total_searches,successful_searches,success_rate,avg_messages,avg_hops
0,1000,100,100,50,50,1.0,3.68,3.68
1,1000,100,87,50,42,0.84,5.24,4.095238095238095
2,1000,100,78,50,44,0.88,4.8,3.909090909090909
3,1000,100,74,50,34,0.68,6.46,4.264705882352941
4,1000,100,65,50,33,0.66,6.9,4.515151515151516
5,1000,100,64,50,30,0.6,7.24,4.6
6,1000,100,51,50,32,0.64,7.28,4.59375
7,1000,100,40,50,27,0.54,7.32,3.888888888888889
8,1000,100,41,50,21,0.42,8.36,4.285714285714286
9,1000,100,46,50,22,0.44,8.38,4.545454545454546
10,1000,100,34,50,21,0.42,9.16,4.904761904761905
11,1000,100,30,50,21,0.42,9.66,5.0476190476190474
12,1000,100,27,50,12,0.24,10.52,5.583333333333333
13,1000,100,23,50,9,0.18,11.16,4.333333333333333
14,1000,100,23,50,12,0.24,10.58,4.416666666666667
15,1000,100,19,50,14,0.28,11.64,7.0
16,1000,100,12,50,6,0.12,11.62,5.5
17,1000,100,17,50,11,0.22,11.42,5.818181818181818
18,1000,100,21,50,6,0.12,12.96,7.833333333333333
19,1000,100,7,50,5,0.1,13.36,8.4
