round,success_rate_mean,success_rate_std,avg_messages_mean,avg_messages_std,avg_hops_mean,avg_hops_std,n_reps
0,1.0,0.0,5.994,0.211,5.994,0.211,30
1,0.784,0.0524,7.597,0.349,6.039,0.254,30
2,0.6527,0.0725,8.703,0.541,6.246,0.32,30
3,0.522,0.0574,9.809,0.403,6.433,0.292,30
4,0.4007,0.0657,10.819,0.602,6.48,0.413,30
5,0.3253,0.0628,11.701,0.542,6.912,0.555,30
6,0.278,0.0742,12.513,0.606,7.385,0.83,30
7,0.204,0.0518,13.776,0.564,8.36,0.937,30
8,0.14,0.0501,15.159,0.725,9.707,1.78,30
9,0.1047,0.0388,16.122,0.767,9.964,2.097,30
10,0.0787,0.0379,17.281,0.867,10.612,2.65,30
11,0.0513,0.0318,17.625,0.972,10.088,5.517,30
12,0.0273,0.026,17.062,0.84,7.292,5.88,30
13,0.0093,0.0146,16.399,0.786,3.283,4.97,30
14,0.0087,0.0125,15.639,0.78,4.683,7.463,30
15,0.0067,0.0096,14.877,0.739,3.467,5.871,30
16,0.0053,0.009,14.924,0.676,2.733,5.311,30
17,0.004,0.0097,15.209,0.689,1.85,4.83,30
18,0.0127,0.0144,14.829,0.661,5.761,6.315,30
19,0.0107,0.0136,14.461,0.489,4.217,5.756,30
