initiator_id,resource_id,messages,hops,success,nodes_reached
109,259,458,3,True,117
135,67,499,3,True,270
477,178,10,1,True,2
451,35,498,3,True,245
450,125,215,2,True,30
189,145,499,3,True,389
80,224,499,4,True,484
426,278,306,2,True,50
360,154,495,3,True,212
313,413,499,3,True,287
334,270,499,3,True,321
4,341,486,3,True,158
418,283,499,3,True,236
153,477,499,3,True,340
339,53,433,3,True,106
480,449,499,4,True,500
68,135,499,3,True,411
59,455,493,3,True,165
54,380,499,4,True,461
283,79,482,3,True,167
139,144,499,3,True,362
309,107,498,3,True,203
367,175,70,1,True,9
104,351,499,3,True,325
324,436,152,2,True,20
135,258,499,4,True,493
250,128,450,3,True,109
463,464,499,4,True,457
433,26,499,3,True,335
47,324,497,3,True,283
216,424,499,3,True,247
141,22,499,4,True,426
1,170,497,3,True,193
394,66,499,3,True,386
326,134,495,3,True,203
82,379,371,2,True,73
226,282,499,3,True,316
361,218,499,3,True,289
287,4,499,4,True,468
57,38,481,3,True,151
483,452,498,3,True,274
353,462,499,4,True,465
76,279,499,3,True,431
18,427,486,3,True,175
189,298,498,3,True,337
282,75,499,3,True,325
220,65,449,3,True,109
21,157,499,4,True,499
186,460,458,3,True,123
477,407,498,3,True,228
497,440,311,2,True,53
20,460,490,3,True,166
183,107,499,3,True,299
349,127,489,3,True,173
341,52,499,3,True,294
181,399,486,3,True,159
286,452,497,3,True,236
447,208,479,3,True,152
498,317,497,3,True,215
383,79,499,3,True,351
473,476,395,2,True,80
121,442,497,3,True,254
83,499,295,2,True,46
409,415,415,2,True,86
90,451,499,3,True,323
211,12,499,3,True,369
91,377,488,3,True,168
473,170,490,3,True,182
400,476,498,3,True,306
210,410,483,3,True,150
342,442,499,3,True,359
376,415,499,3,True,329
127,136,44,1,True,6
81,403,496,3,True,225
359,55,113,2,True,15
195,446,174,2,True,25
19,439,444,3,True,108
240,113,127,2,True,16
102,418,499,4,True,458
470,235,311,2,True,48
179,156,499,4,True,449
420,407,383,2,True,71
446,116,499,3,True,329
114,12,499,4,True,459
337,98,368,2,True,72
204,168,496,3,True,190
142,442,479,3,True,159
35,495,493,3,True,188
395,142,499,3,True,401
179,328,349,2,True,63
260,204,278,2,True,42
347,431,193,2,True,27
274,169,499,4,True,469
480,14,394,2,True,83
59,449,499,3,True,266
496,133,444,3,True,106
91,297,498,3,True,252
492,135,496,3,True,222
19,55,499,4,True,462
305,222,499,3,True,419
