initiator_id,resource_id,messages,hops,success,nodes_reached
40,7,3,3,True,3
1,47,3,3,True,3
17,15,3,3,True,3
14,8,1,1,True,1
47,6,2,2,True,2
43,47,1,1,True,1
34,5,2,2,True,2
37,27,4,4,True,4
2,1,1,1,True,1
5,13,1,1,True,1
14,32,3,3,True,3
38,1,2,2,True,2
35,12,3,3,True,3
45,41,1,1,True,1
44,34,2,2,True,2
26,14,2,2,True,2
28,37,2,2,True,2
17,0,1,1,True,1
48,10,3,3,True,3
44,27,3,3,True,3
21,17,1,1,True,1
9,13,1,1,True,1
48,21,2,2,True,2
6,5,1,1,True,1
24,6,3,3,True,3
22,22,8,0,False,8
38,16,3,3,True,3
2,46,3,3,True,3
29,34,3,3,True,3
7,24,3,3,True,3
5,35,2,2,True,2
18,40,2,2,True,2
39,23,2,2,True,2
36,12,2,2,True,2
45,4,2,2,True,2
2,42,2,2,True,2
14,49,2,2,True,2
18,5,2,2,True,2
14,6,1,1,True,1
24,17,1,1,True,1
29,40,2,2,True,2
23,10,3,3,True,3
23,22,1,1,True,1
13,42,2,2,True,2
17,44,3,3,True,3
43,41,1,1,True,1
4,38,1,1,True,1
40,10,1,1,True,1
34,46,2,2,True,2
15,10,1,1,True,1
29,24,1,1,True,1
17,40,2,2,True,2
44,35,2,2,True,2
14,43,2,2,True,2
20,49,1,1,True,1
49,3,2,2,True,2
14,2,2,2,True,2
20,25,2,2,True,2
17,4,2,2,True,2
13,36,2,2,True,2
45,20,3,3,True,3
13,41,2,2,True,2
31,25,1,1,True,1
41,29,3,3,True,3
9,16,2,2,True,2
8,15,2,2,True,2
47,35,2,2,True,2
34,16,2,2,True,2
47,37,1,1,True,1
27,37,3,3,True,3
25,23,2,2,True,2
14,8,1,1,True,1
32,31,4,4,True,4
5,48,2,2,True,2
3,7,1,1,True,1
9,40,1,1,True,1
10,43,1,1,True,1
27,38,3,3,True,3
4,24,3,3,True,3
24,38,3,3,True,3
29,33,3,3,True,3
16,35,2,2,True,2
0,43,2,2,True,2
46,7,2,2,True,2
43,34,1,1,True,1
48,17,1,1,True,1
49,41,2,2,True,2
21,7,1,1,True,1
18,27,1,1,True,1
10,29,2,2,True,2
0,46,3,3,True,3
46,16,4,4,True,4
32,48,1,1,True,1
11,32,2,2,True,2
6,40,3,3,True,3
19,40,3,3,True,3
32,38,1,1,True,1
12,9,1,1,True,1
23,48,1,1,True,1
10,34,2,2,True,2
